工作;ㄍㄨㄥ ㄗㄨㄛˋ
教育;ㄐㄧㄠˋ ㄩˋ
準備;ㄓㄨㄣˇ ㄅㄟˋ
輕鬆;ㄑㄧㄥ ㄙㄨㄥ
祖先;ㄗㄨˇ ㄒㄧㄢ
戶外;ㄏㄨˋ ㄨㄞˋ
好朋友;ㄏㄠˇ ㄆㄥˊ ㄧㄡˇ
碗;ㄨㄢˇ
神奇;ㄕㄣˊ ㄑㄧˊ
清理;ㄑㄧㄥ ㄌㄧˇ
院子;ㄩㄢˋ ㄗ˙
喜好;ㄒㄧˇ ㄏㄠˋ
鍋子;ㄍㄨㄛ ㄗ˙
生火;ㄕㄥ ㄏㄨㄛˇ
竹筒飯;ㄓㄨˊ ㄊㄨㄥˇ ㄈㄢˋ
煮飯;ㄓㄨˇ ㄈㄢˋ
肚子餓;ㄉㄨˋ ㄗ˙ ㄜˋ
飄出;ㄆㄧㄠ ㄔㄨ
陣陣;ㄓㄣˋ ㄓㄣˋ
種菜;ㄓㄨㄥˋ ㄘㄞˋ
兩種;ㄌㄧㄤˇ ㄓㄨㄥˇ
