它;ㄊㄚ
學校;ㄒㄩㄝˊ ㄒㄧㄠˋ
分享;ㄈㄣ ㄒㄧㄤˇ
剛好;ㄍㄤ ㄏㄠˇ
客家人;ㄎㄜˋ ㄐㄧㄚ ㄖㄣˊ
美食;ㄇㄟˇ ㄕˊ
香味;ㄒㄧㄤ ㄨㄟˋ
飽;ㄅㄠˇ
中午;ㄓㄨㄥ ㄨˇ
竹膜;ㄓㄨˊ ㄇㄛˊ
艾粄;ㄞˋ ㄅㄢˇ
清明節;ㄑㄧㄥ ㄇㄧㄥˊ ㄐㄧㄝˊ
保平安;ㄅㄠˇ ㄆㄧㄥˊ ㄢ
越南春捲;ㄩㄝˋ ㄋㄢˊ ㄔㄨㄣ ㄐㄩㄢˇ
