時候;ㄕˊ ㄏㄡˋ
市場;ㄕˋ ㄔㄤˇ
後面;ㄏㄡˋ ㄇㄧㄢˋ
熱鬧;ㄖㄜˋ ㄋㄠˋ
討厭;ㄊㄠˇ ㄧㄢˋ
理;ㄌㄧˇ
道歉;ㄉㄠˋ ㄑㄧㄢˋ
心胸;ㄒㄧㄣ ㄒㄩㄥ
閒;ㄒㄧㄢˊ
開闊;ㄎㄞ ㄎㄨㄛˋ
友情;ㄧㄡˇ ㄑㄧㄥˊ
問候;ㄨㄣˋ ㄏㄡˋ
復活;ㄈㄨˋ ㄏㄨㄛˊ
大仙;ㄉㄚˋ ㄒㄧㄢ
鬥;ㄉㄡˋ
勸說;ㄑㄩㄢˋ ㄕㄨㄛ
生悶氣;ㄕㄥ ㄇㄣˋ ㄑㄧˋ
左閃右躲;ㄗㄨㄛˇ ㄕㄢˇ ㄧㄡˋ ㄉㄨㄛˇ
