生活;ㄕㄥ ㄏㄨㄛˊ
老師;ㄌㄠˇ ㄕ
更多;ㄍㄥˋ ㄉㄨㄛ
接著;ㄐㄧㄝ ㄓㄜ˙
種類;ㄓㄨㄥˇ ㄌㄟˋ
好奇;ㄏㄠˋ ㄑㄧˊ
童年;ㄊㄨㄥˊ ㄋㄧㄢˊ
好看;ㄏㄠˇ ㄎㄢˋ
堂;ㄊㄤˊ
舉手;ㄐㄩˇ ㄕㄡˇ
青菜;ㄑㄧㄥ ㄘㄞˋ
圓形;ㄩㄢˊ ㄒㄧㄥˊ
白紙;ㄅㄞˊ ㄓˇ
米紙;ㄇㄧˇ ㄓˇ
變軟;ㄅㄧㄢˋ ㄖㄨㄢˇ
搶著;ㄑㄧㄤˇ ㄓㄜ˙
食材;ㄕˊ ㄘㄞˊ
米線;ㄇㄧˇ ㄒㄧㄢˋ
各種;ㄍㄜˋ ㄓㄨㄥˇ
種花;ㄓㄨㄥˋ ㄏㄨㄚ
生活;ㄕㄥ ㄏㄨㄛˊ
